"id","Asset","realizedPL","date_closed","date_open","initialUnits","financing","dividendAdjustment","account_var","already_in_db","Net_Profit"
"20953","AU200_AUD",-2.99,2025-10-20 23:49:22,2025-10-20 14:12:29,-0.1,0,0,3,NA,-2.99
"20957","AU200_AUD",-3.2,2025-10-21 00:48:03,2025-10-20 17:38:09,-0.1,0,0,3,NA,-3.2
"20969","AU200_AUD",-3.2,2025-10-21 01:41:08,2025-10-20 18:39:46,-0.1,0,0,3,NA,-3.2
"20973","AU200_AUD",-3.2,2025-10-21 00:32:32,2025-10-20 19:40:55,-0.1,0,0,3,NA,-3.2
"20977","AU200_AUD",-3.2,2025-10-21 00:42:48,2025-10-20 21:38:23,-0.1,0,0,3,NA,-3.2
"20981","AU200_AUD",-3.2,2025-10-21 00:42:48,2025-10-20 21:38:25,-0.1,0,0,3,NA,-3.2
"20985","AU200_AUD",-3.2,2025-10-21 00:46:38,2025-10-20 22:40:15,-0.1,0,0,3,NA,-3.2
"20989","AU200_AUD",-3.2,2025-10-21 00:46:38,2025-10-20 22:40:17,-0.1,0,0,3,NA,-3.2
"21001","AU200_AUD",-3.38,2025-10-21 09:50:57,2025-10-21 00:41:01,-0.1,0.0272,-0.0144,3,NA,-3.3672
"21017","AU200_AUD",-1.98,2025-10-21 09:56:03,2025-10-21 01:41:31,-0.1,0.0272,-0.0144,3,NA,-1.9672
"21021","AU200_AUD",-1.68,2025-10-21 10:46:02,2025-10-21 02:42:18,-0.1,0.0272,-0.0144,3,NA,-1.6672
"21025","AU200_AUD",-3.28,2025-10-21 11:26:11,2025-10-21 03:42:30,-0.1,0.0272,-0.0144,3,NA,-3.2672
"21029","AU200_AUD",-3.28,2025-10-21 11:45:37,2025-10-21 04:42:28,-0.1,0.0272,-0.0144,3,NA,-3.2672
"21033","AU200_AUD",-3.28,2025-10-21 11:45:37,2025-10-21 05:42:57,-0.1,0.0272,-0.0144,3,NA,-3.2672
"21037","AU200_AUD",-3.28,2025-10-21 11:45:06,2025-10-21 06:43:02,-0.1,0.0272,-0.0144,3,NA,-3.2672
"21079","AU200_AUD",-3.28,2025-10-21 11:52:34,2025-10-21 10:44:03,-0.1,0,0,3,NA,-3.28
"21089","AU200_AUD",1.81,2025-10-21 19:46:02,2025-10-21 11:44:30,-0.1,0,0,3,NA,1.81
"21101","AU200_AUD",1.51,2025-10-21 20:46:02,2025-10-21 12:44:43,-0.1,0,0,3,NA,1.51
"21105","AU200_AUD",2.51,2025-10-21 21:46:02,2025-10-21 13:44:34,-0.1,0,0,3,NA,2.51
"21119","AU200_AUD",2,2025-10-22 01:56:02,2025-10-21 17:39:37,-0.1,0,0,3,NA,2
"21123","AU200_AUD",2.6,2025-10-22 02:46:03,2025-10-21 18:40:51,-0.1,0,0,3,NA,2.6
"21127","AU200_AUD",3.21,2025-10-22 09:56:23,2025-10-21 19:41:23,-0.1,0.0271,0,3,NA,3.2371
"21135","AU200_AUD",2.81,2025-10-22 09:56:19,2025-10-21 20:42:09,-0.1,0.0271,0,3,NA,2.8371
"21143","AU200_AUD",2.21,2025-10-22 09:56:15,2025-10-21 21:42:00,-0.1,0.0271,0,3,NA,2.2371
"21147","WTICO_USD",-0.0836,2025-10-22 09:01:04,2025-10-21 21:42:02,-3,-0.0408,0,3,NA,-0.1244
"21155","AU200_AUD",3.21,2025-10-22 09:56:12,2025-10-21 22:42:41,-0.1,0.0271,0,3,NA,3.2371
"21159","WTICO_USD",-1.1101,2025-10-22 09:46:31,2025-10-21 22:42:42,-3,-0.0398,0,3,NA,-1.1499
"21163","AU200_AUD",2.21,2025-10-22 09:56:08,2025-10-21 23:40:09,-0.1,0.0271,0,3,NA,2.2371
"21167","WTICO_USD",0.3311,2025-10-22 09:46:22,2025-10-21 23:40:11,-3,-0.0364,0,3,NA,0.2947
"21171","AU200_AUD",1.51,2025-10-22 09:56:04,2025-10-22 00:40:13,-0.1,0.0271,0,3,NA,1.5371
"21179","AU200_AUD",3.91,2025-10-22 10:46:22,2025-10-22 02:42:00,-0.1,0.0271,0,3,NA,3.9371
"21296","WTICO_USD",-3.8459,2025-10-22 14:29:13,2025-10-22 09:45:12,-3,-0.0173,0,3,NA,-3.8632
"21356","WTICO_USD",-3.8459,2025-10-22 14:28:58,2025-10-22 10:45:16,-3,-0.0136,0,3,NA,-3.8595
"21376","WTICO_USD",-2.2023,2025-10-23 00:36:06,2025-10-22 16:32:20,-6,-0.059,0,3,NA,-2.2613
"21380","EUR_JPY",1.5908,2025-10-23 00:46:06,2025-10-22 16:37:00,-2132,0,0,3,NA,1.5908
"21384","WTICO_USD",-3.0368,2025-10-23 01:41:02,2025-10-22 17:33:19,-6,-0.0596,0,3,NA,-3.0964
"21388","EUR_JPY",-2.2369,2025-10-23 01:41:11,2025-10-22 17:37:14,-2132,0,0,3,NA,-2.2369
"21392","WTICO_USD",-5.464,2025-10-23 02:41:02,2025-10-22 18:34:16,-6,-0.0594,0,3,NA,-5.5234
"21400","AU200_AUD",6.4,2025-10-23 03:41:06,2025-10-22 19:34:00,-0.2,0,0,3,NA,6.4
"21404","WTICO_USD",-4.0682,2025-10-23 03:41:02,2025-10-22 19:34:02,-6,-0.0594,0,3,NA,-4.1276
"21408","EUR_NZD",-8.0591,2025-10-23 01:44:06,2025-10-22 19:37:21,-2103,0,0,3,NA,-8.0591
"21412","WTICO_USD",-3.3292,2025-10-23 04:41:02,2025-10-22 20:34:20,-6,-0.0594,0,3,NA,-3.3886
"21416","EUR_NZD",-8.0405,2025-10-23 01:44:24,2025-10-22 20:38:24,-2103,0,0,3,NA,-8.0405
"21424","WTICO_USD",-7.6341,2025-10-23 02:50:02,2025-10-22 21:34:42,-6,-0.0386,0,3,NA,-7.6727
"21428","EUR_NZD",-8.0577,2025-10-23 01:43:11,2025-10-22 21:38:27,-2103,0,0,3,NA,-8.0577
"21432","WTICO_USD",-7.6287,2025-10-23 06:25:39,2025-10-22 22:34:44,-6,-0.0582,0,3,NA,-7.6869
"21436","EUR_NZD",-8.2131,2025-10-23 03:30:39,2025-10-22 22:38:22,-2103,0,0,3,NA,-8.2131
"21444","WTICO_USD",-7.6296,2025-10-23 06:22:25,2025-10-22 23:34:41,-6,-0.0504,0,3,NA,-7.68
"21448","EUR_NZD",-8.0951,2025-10-23 01:43:11,2025-10-22 23:38:44,-2103,0,0,3,NA,-8.0951
"21452","WTICO_USD",-7.6382,2025-10-23 06:25:51,2025-10-23 00:34:47,-6,-0.0434,0,3,NA,-7.6816
"21486","EUR_JPY",-3.2378,2025-10-23 10:46:02,2025-10-23 02:40:27,-2132,-0.8097,0,3,NA,-4.0475
"21502","EUR_JPY",-8.0277,2025-10-23 11:17:49,2025-10-23 03:40:29,-2132,-0.8097,0,3,NA,-8.8374
"21514","EUR_JPY",-8.062,2025-10-23 08:05:00,2025-10-23 04:40:51,-2132,-0.8097,0,3,NA,-8.8717
"21526","EUR_JPY",-8.0465,2025-10-23 11:30:59,2025-10-23 05:40:55,-2132,-0.8097,0,3,NA,-8.8562
"21536","EUR_JPY",-8.0136,2025-10-23 12:19:07,2025-10-23 06:41:05,-2132,-0.8097,0,3,NA,-8.8233
"21544","EUR_JPY",-8.1042,2025-10-23 12:15:03,2025-10-23 07:41:21,-2132,-0.8097,0,3,NA,-8.9139
"21551","EUR_JPY",-8.0142,2025-10-23 12:18:19,2025-10-23 08:41:05,-2132,0,0,3,NA,-8.0142
"21555","EUR_JPY",-8.0152,2025-10-23 12:17:52,2025-10-23 09:41:36,-2132,0,0,3,NA,-8.0152
"21559","EUR_JPY",-8.0152,2025-10-23 12:17:55,2025-10-23 10:41:55,-2132,0,0,3,NA,-8.0152
"21573","EUR_JPY",-8.017,2025-10-23 17:55:35,2025-10-23 11:42:07,-2132,0,0,3,NA,-8.017
"21591","EUR_JPY",-3.7099,2025-10-23 20:46:03,2025-10-23 12:42:28,-2132,0,0,3,NA,-3.7099
"21595","EUR_JPY",-5.5412,2025-10-23 21:59:01,2025-10-23 13:42:57,-2132,0,0,3,NA,-5.5412
"21609","AU200_AUD",-0.5,2025-10-23 23:46:06,2025-10-23 15:38:18,-0.2,0,0,3,NA,-0.5
"21614","EUR_JPY",-3.8658,2025-10-23 23:56:02,2025-10-23 15:43:17,-2132,0,0,3,NA,-3.8658
"21620","EUR_JPY",-7.9793,2025-10-23 22:34:24,2025-10-23 16:43:28,-2132,0,0,3,NA,-7.9793
"21633","AU200_AUD",-4.8,2025-10-24 01:46:06,2025-10-23 17:38:44,-0.2,0,0,3,NA,-4.8
"21637","EUR_JPY",-7.9765,2025-10-24 00:44:57,2025-10-23 17:43:27,-2132,0,0,3,NA,-7.9765
"21645","AU200_AUD",-1.4,2025-10-24 02:46:02,2025-10-23 18:38:50,-0.2,0,0,3,NA,-1.4
"21649","EUR_JPY",-7.9795,2025-10-24 00:37:58,2025-10-23 18:43:34,-2132,0,0,3,NA,-7.9795
"21654","EUR_JPY",-8.0834,2025-10-24 01:30:31,2025-10-23 19:41:12,-2132,0,0,3,NA,-8.0834
"21700","EUR_JPY",-8.0408,2025-10-24 01:30:10,2025-10-23 20:44:30,-2132,0,0,3,NA,-8.0408
"21708","AU200_AUD",-6.4,2025-10-24 04:41:45,2025-10-23 21:41:55,-0.2,0,0,3,NA,-6.4
"21712","EUR_JPY",-7.9661,2025-10-24 02:56:42,2025-10-23 21:56:17,-2132,0,0,3,NA,-7.9661
"21726","AU200_AUD",-6.4,2025-10-24 04:44:45,2025-10-23 22:42:41,-0.2,0,0,3,NA,-6.4
"21730","EUR_JPY",-7.9759,2025-10-24 01:30:28,2025-10-23 22:54:26,-2132,0,0,3,NA,-7.9759
