"id","Asset","realizedPL","date_closed","date_open","initialUnits","financing","dividendAdjustment","account_var","already_in_db","trade_col","Net_Profit"
"23786","BTC_USD",-8.9332,2025-10-13 15:47:52,2025-10-13 11:07:23,0.01,0,0,1,NA,"Long",-8.9332
"23804","BTC_USD",-8.9329,2025-10-13 14:48:07,2025-10-13 12:02:37,0.01,0,0,1,NA,"Long",-8.9329
"23822","BTC_USD",-9.0175,2025-10-13 14:33:56,2025-10-13 13:02:54,0.01,0,0,1,NA,"Long",-9.0175
"23846","BTC_USD",-9.1488,2025-10-13 22:27:45,2025-10-13 16:02:57,0.01,0,0,1,NA,"Long",-9.1488
"23868","BTC_USD",-8.878,2025-10-13 22:28:35,2025-10-13 17:02:55,0.01,0,0,1,NA,"Long",-8.878
"23888","BTC_USD",-8.96,2025-10-13 22:01:51,2025-10-13 18:02:47,0.01,0,0,1,NA,"Long",-8.96
"23929","BTC_USD",-9.416,2025-10-13 22:01:18,2025-10-13 20:02:45,0.01,0,0,1,NA,"Long",-9.416
"23949","BTC_USD",-8.9537,2025-10-13 22:01:58,2025-10-13 21:02:41,0.01,0,0,1,NA,"Long",-8.9537
"23973","BTC_USD",-8.9647,2025-10-13 22:27:48,2025-10-13 22:02:35,0.01,0,0,1,NA,"Long",-8.9647
"24015","BTC_USD",-9.0458,2025-10-14 14:02:45,2025-10-13 23:02:57,0.01,-0.9355,0,1,NA,"Long",-9.9813
"24035","BTC_USD",-9.2047,2025-10-14 01:30:34,2025-10-14 00:03:17,0.01,0,0,1,NA,"Long",-9.2047
"24059","BTC_USD",-9.0446,2025-10-14 01:20:29,2025-10-14 01:03:23,0.01,0,0,1,NA,"Long",-9.0446
"24083","BTC_USD",-9.4961,2025-10-14 14:00:41,2025-10-14 02:02:48,0.01,-0.9355,0,1,NA,"Long",-10.4316
"24107","BTC_USD",-8.8743,2025-10-14 13:18:44,2025-10-14 03:02:42,0.01,-0.9355,0,1,NA,"Long",-9.8098
"24219","BTC_USD",-9.151,2025-10-14 15:50:55,2025-10-14 14:03:26,0.01,0,0,1,NA,"Long",-9.151
"24241","BTC_USD",-9.731,2025-10-14 15:47:29,2025-10-14 15:02:55,0.01,0,0,1,NA,"Long",-9.731
"24279","BTC_USD",-9.1124,2025-10-14 16:35:56,2025-10-14 16:02:52,0.01,0,0,1,NA,"Long",-9.1124
"24311","BTC_USD",-8.9437,2025-10-14 17:42:34,2025-10-14 17:02:46,0.01,0,0,1,NA,"Long",-8.9437
"24357","BTC_USD",-2.2481,2025-10-14 18:14:54,2025-10-14 18:02:47,0.01,0,0,1,NA,"Long",-2.2481
